t,wall,sim_left_j1,sim_left_j2,sim_left_j3,sim_left_j4,sim_left_j5,sim_left_j6,sim_left_j7,real_left_j1,real_left_j2,real_left_j3,real_left_j4,real_left_j5,real_left_j6,real_left_j7,master_left_x,master_left_y,master_left_z,master_left_qx,master_left_qy,master_left_qz,master_left_qw,cmd_left_x,cmd_left_y,cmd_left_z,ee_left_x,ee_left_y,ee_left_z,ee_left_qx,ee_left_qy,ee_left_qz,ee_left_qw,cascade_left,sim_left_fresh,real_left_fresh,master_left_fresh,ee_left_fresh,sim_right_j1,sim_right_j2,sim_right_j3,sim_right_j4,sim_right_j5,sim_right_j6,sim_right_j7,real_right_j1,real_right_j2,real_right_j3,real_right_j4,real_right_j5,real_right_j6,real_right_j7,master_right_x,master_right_y,master_right_z,master_right_qx,master_right_qy,master_right_qz,master_right_qw,cmd_right_x,cmd_right_y,cmd_right_z,ee_right_x,ee_right_y,ee_right_z,ee_right_qx,ee_right_qy,ee_right_qz,ee_right_qw,cascade_right,sim_right_fresh,real_right_fresh,master_right_fresh,ee_right_fresh,vr_left_engaged,vr_left_grip,vr_left_refused,vr_left_disp_m,vr_left_lag_m,vr_left_cutoff_hz,vr_left_tracked,vr_left_fresh,vr_right_engaged,vr_right_grip,vr_right_refused,vr_right_disp_m,vr_right_lag_m,vr_right_cutoff_hz,vr_right_tracked,vr_right_fresh,pred_left_top,pred_left_p,pred_left_ambiguous,pred_left_dist_m,pred_right_top,pred_right_p,pred_right_ambiguous,pred_right_dist_m,input_mode,vr_node_up,master_node_up,trial_id,trial_phase,goal_truth,target_id,target_w_m,target_d_m,estop,n_detections,autonomy_left,autonomy_right
5.1036,1788066592.5986,,,,,,,,1.7111999105185827,0.6352986759350563,2.336899621778612,-1.544021437827458,-0.33428317582005407,-0.514762407101416,-2.259110284234051,,,,,,,,,,,,,,,,,,,0,1,0,0,,,,,,,,2.6527073838523503,-1.5922912325851442,-0.06837932414887452,-0.48185851920126893,2.3095918342770485,0.9273767405898071,-2.3506330108879325,,,,,,,,,,,,,,,,,,,0,1,0,0,0,0,,,,,0,0,0,0,,,,,0,0,,,,,,,,,none,0,0,,,,,,,,0,,
5.1538,1788066592.6488,,,,,,,,1.7111999105185827,0.6352986759350563,2.336899621778612,-1.544021437827458,-0.33428317582005407,-0.514762407101416,-2.259110284234051,,,,,,,,,,,,,,,,,,,0,1,0,0,,,,,,,,2.6527073838523503,-1.5922912325851442,-0.06837985678109254,-0.48185851920126893,2.3095918342770485,0.9273767405898071,-2.3506330108879325,,,,,,,,,,,,,,,,,,,0,1,0,0,0,0,,,,,0,0,0,0,,,,,0,0,,,,,,,,,none,0,0,,,,,,,,0,,
5.2036,1788066592.6986,,,,,,,,1.7111999105185827,0.6352986759350563,2.336899621778612,-1.544021437827458,-0.33428317582005407,-0.514761874469198,-2.259110284234051,,,,,,,,,,,,,,,,,,,0,1,0,0,,,,,,,,2.6527073838523503,-1.5922912325851442,-0.06837985678109254,-0.48185851920126893,2.3095918342770485,0.9273767405898071,-2.3506330108879325,,,,,,,,,,,,,,,,,,,0,1,0,0,0,0,,,,,0,0,0,0,,,,,0,0,,,,,,,,,none,0,0,,,,,,,,0,,
5.2538,1788066592.7488,,,,,,,,1.7111999105185827,0.6352982098818656,2.336899621778612,-1.544021437827458,-0.33428317582005407,-0.514761874469198,-2.259110284234051,,,,,,,,,,,,,,,,,,,0,1,0,0,,,,,,,,2.6527073838523503,-1.5922912325851442,-0.06837985678109254,-0.48185851920126893,2.3095918342770485,0.9273767405898071,-2.3506330108879325,,,,,,,,,,,,,,,,,,,0,1,0,0,0,0,,,,,0,0,0,0,,,,,0,0,,,,,,,,,none,0,0,,,,,,,,0,,
5.3039,1788066592.7989,,,,,,,,1.7111999105185827,0.6352982098818656,2.336899621778612,-1.544021437827458,-0.33428317582005407,-0.514761874469198,-2.259110284234051,,,,,,,,,,,,,,,,,,,0,1,0,0,,,,,,,,2.6527073838523503,-1.5922912325851442,-0.06837932414887452,-0.48185851920126893,2.3095918342770485,0.9273767405898071,-2.3506330108879325,,,,,,,,,,,,,,,,,,,0,1,0,0,0,0,,,,,0,0,0,0,,,,,0,0,,,,,,,,,none,0,0,,,,,,,,0,,
5.354,1788066592.849,,,,,,,,1.7111999105185827,0.6352986759350563,2.336899621778612,-1.5440209051952398,-0.33428317582005407,-0.514762407101416,-2.259110284234051,,,,,,,,,,,,,,,,,,,0,1,0,0,,,,,,,,2.6527073838523503,-1.5922912325851442,-0.06837932414887452,-0.48185851920126893,2.3095918342770485,0.9273767405898071,-2.3506330108879325,,,,,,,,,,,,,,,,,,,0,1,0,0,0,0,,,,,0,0,0,0,,,,,0,0,,,,,,,,,none,0,0,,,,,,,,0,,
5.4045,1788066592.8995,,,,,,,,1.7111999105185827,0.6352986759350563,2.336899621778612,-1.5440209051952398,-0.33428317582005407,-0.514762407101416,-2.259110284234051,,,,,,,,,,,,,,,,,,,0,1,0,0,,,,,,,,2.6527073838523503,-1.5922912325851442,-0.06837985678109254,-0.48185851920126893,2.3095918342770485,0.9273777392752159,-2.3506330108879325,,,,,,,,,,,,,,,,,,,0,1,0,0,0,0,,,,,0,0,0,0,,,,,0,0,,,,,,,,,none,0,0,,,,,,,,0,,
5.4538,1788066592.9488,,,,,,,,1.7111999105185827,0.6352986759350563,2.336899621778612,-1.5440209051952398,-0.33428317582005407,-0.514762407101416,-2.259110284234051,,,,,,,,,,,,,,,,,,,0,1,0,0,,,,,,,,2.6527073838523503,-1.5922912325851442,-0.06837985678109254,-0.48185851920126893,2.3095918342770485,0.9273777392752159,-2.3506330108879325,,,,,,,,,,,,,,,,,,,0,1,0,0,0,0,,,,,0,0,0,0,,,,,0,0,,,,,,,,,none,0,0,,,,,,,,0,,
5.5036,1788066592.9986,,,,,,,,1.7111999105185827,0.6352986759350563,2.336899621778612,-1.5440209051952398,-0.33428317582005407,-0.514762407101416,-2.259110284234051,,,,,,,,,,,,,,,,,,,0,1,0,0,,,,,,,,2.6527073838523503,-1.5922912325851442,-0.06837985678109254,-0.48185851920126893,2.3095918342770485,0.9273777392752159,-2.3506330108879325,,,,,,,,,,,,,,,,,,,0,1,0,0,0,0,,,,,0,0,0,0,,,,,0,0,,,,,,,,,none,0,0,,,,,,,,0,,
5.554,1788066593.049,,,,,,,,1.7111999105185827,0.6352986759350563,2.336899621778612,-1.5440209051952398,-0.33428317582005407,-0.514762407101416,-2.259110284234051,,,,,,,,,,,,,,,,,,,0,1,0,0,,,,,,,,2.6527073838523503,-1.5922912325851442,-0.06837932414887452,-0.48185851920126893,2.3095918342770485,0.9273767405898071,-2.3506330108879325,,,,,,,,,,,,,,,,,,,0,1,0,0,0,0,,,,,0,0,0,0,,,,,0,0,,,,,,,,,none,0,0,,,,,,,,0,,
5.6035,1788066593.0985,,,,,,,,1.7111999105185827,0.6352986759350563,2.336899621778612,-1.544021437827458,-0.33428317582005407,-0.514762407101416,-2.259110284234051,,,,,,,,,,,,,,,,,,,0,1,0,0,,,,,,,,2.6527073838523503,-1.5922912325851442,-0.06837932414887452,-0.48185851920126893,2.3095918342770485,0.9273767405898071,-2.3506330108879325,,,,,,,,,,,,,,,,,,,0,1,0,0,0,0,,,,,0,0,0,0,,,,,0,0,,,,,,,,,none,0,0,,,,,,,,0,,
5.6539,1788066593.1489,,,,,,,,1.7111999105185827,0.6352986759350563,2.336899621778612,-1.544021437827458,-0.33428317582005407,-0.514762407101416,-2.259110284234051,,,,,,,,,,,,,,,,,,,0,1,0,0,,,,,,,,2.6527073838523503,-1.5922912325851442,-0.06837985678109254,-0.48185851920126893,2.3095918342770485,0.9273777392752159,-2.3506330108879325,,,,,,,,,,,,,,,,,,,0,1,0,0,0,0,,,,,0,0,0,0,,,,,0,0,,,,,,,,,none,0,0,,,,,,,,0,,
5.7038,1788066593.1988,,,,,,,,1.7111999105185827,0.6352986759350563,2.336899621778612,-1.544021437827458,-0.33428317582005407,-0.514762407101416,-2.259110284234051,,,,,,,,,,,,,,,,,,,0,1,0,0,,,,,,,,2.6527073838523503,-1.5922912325851442,-0.06837985678109254,-0.48185851920126893,2.3095918342770485,0.9273767405898071,-2.3506330108879325,,,,,,,,,,,,,,,,,,,0,1,0,0,0,0,,,,,0,0,0,0,,,,,0,0,,,,,,,,,none,0,0,,,,,,,,0,,
5.7541,1788066593.2491,,,,,,,,1.7111999105185827,0.6352986759350563,2.336899621778612,-1.544021437827458,-0.33428317582005407,-0.514761874469198,-2.259110284234051,,,,,,,,,,,,,,,,,,,0,1,0,0,,,,,,,,2.6527073838523503,-1.5922912325851442,-0.06837985678109254,-0.48185851920126893,2.3095918342770485,0.9273767405898071,-2.3506330108879325,,,,,,,,,,,,,,,,,,,0,1,0,0,0,0,,,,,0,0,0,0,,,,,0,0,,,,,,,,,none,0,0,,,,,,,,0,,
5.8037,1788066593.2987,,,,,,,,1.7111999105185827,0.6352986759350563,2.336899621778612,-1.544021437827458,-0.33428317582005407,-0.514761874469198,-2.259110284234051,,,,,,,,,,,,,,,,,,,0,1,0,0,,,,,,,,2.6527073838523503,-1.5922912325851442,-0.06837985678109254,-0.48185851920126893,2.3095918342770485,0.9273767405898071,-2.3506330108879325,,,,,,,,,,,,,,,,,,,0,1,0,0,0,0,,,,,0,0,0,0,,,,,0,0,,,,,,,,,none,0,0,,,,,,,,0,,
5.8537,1788066593.3487,,,,,,,,1.7111999105185827,0.6352986759350563,2.336899621778612,-1.544021437827458,-0.33428317582005407,-0.514761874469198,-2.259110284234051,,,,,,,,,,,,,,,,,,,0,1,0,0,,,,,,,,2.6527073838523503,-1.5922912325851442,-0.06837985678109254,-0.48185851920126893,2.3095918342770485,0.9273767405898071,-2.3506330108879325,,,,,,,,,,,,,,,,,,,0,1,0,0,0,0,,,,,0,0,0,0,,,,,0,0,,,,,,,,,none,0,0,,,,,,,,0,,
5.9039,1788066593.3989,,,,,,,,1.7111999105185827,0.6352986759350563,2.336899621778612,-1.544021437827458,-0.33428317582005407,-0.514761874469198,-2.259110284234051,,,,,,,,,,,,,,,,,,,0,1,0,0,,,,,,,,2.6527073838523503,-1.5922912325851442,-0.06838038941331055,-0.48185851920126893,2.3095918342770485,0.9273767405898071,-2.3506330108879325,,,,,,,,,,,,,,,,,,,0,1,0,0,0,0,,,,,0,0,0,0,,,,,0,0,,,,,,,,,none,0,0,,,,,,,,0,,
5.9539,1788066593.4489,,,,,,,,1.7111999105185827,0.6352986759350563,2.336899621778612,-1.5440209051952398,-0.33428317582005407,-0.514762407101416,-2.259110284234051,,,,,,,,,,,,,,,,,,,0,1,0,0,,,,,,,,2.6527073838523503,-1.5922912325851442,-0.06837985678109254,-0.48185851920126893,2.3095918342770485,0.9273767405898071,-2.3506330108879325,,,,,,,,,,,,,,,,,,,0,1,0,0,0,0,,,,,0,0,0,0,,,,,0,0,,,,,,,,,none,0,0,,,,,,,,0,,
6.0036,1788066593.4986,,,,,,,,1.7111999105185827,0.6352982098818656,2.336899621778612,-1.5440209051952398,-0.33428317582005407,-0.514762407101416,-2.259110284234051,,,,,,,,,,,,,,,,,,,0,1,0,0,,,,,,,,2.6527073838523503,-1.5922912325851442,-0.06837985678109254,-0.48185851920126893,2.3095918342770485,0.9273767405898071,-2.3506330108879325,,,,,,,,,,,,,,,,,,,0,1,0,0,0,0,,,,,0,0,0,0,,,,,0,0,,,,,,,,,none,0,0,,,,,,,,0,,
6.0537,1788066593.5487,,,,,,,,1.7111999105185827,0.6352982098818656,2.336899621778612,-1.5440209051952398,-0.33428317582005407,-0.514762407101416,-2.259110284234051,,,,,,,,,,,,,,,,,,,0,1,0,0,,,,,,,,2.6527073838523503,-1.5922912325851442,-0.06837932414887452,-0.48185851920126893,2.3095918342770485,0.9273767405898071,-2.3506330108879325,,,,,,,,,,,,,,,,,,,0,1,0,0,0,0,,,,,0,0,0,0,,,,,0,0,,,,,,,,,none,0,0,,,,,,,,0,,
6.1041,1788066593.5991,,,,,,,,1.7111999105185827,0.6352986759350563,2.336899621778612,-1.544021437827458,-0.33428317582005407,-0.514762407101416,-2.259110284234051,,,,,,,,,,,,,,,,,,,0,1,0,0,,,,,,,,2.6527073838523503,-1.5922912325851442,-0.06837985678109254,-0.48185851920126893,2.3095918342770485,0.9273767405898071,-2.3506330108879325,,,,,,,,,,,,,,,,,,,0,1,0,0,0,0,,,,,0,0,0,0,,,,,0,0,,,,,,,,,none,0,0,,,,,,,,0,,
6.1538,1788066593.6488,,,,,,,,1.7111999105185827,0.6352986759350563,2.336899621778612,-1.544021437827458,-0.33428317582005407,-0.514762407101416,-2.259110284234051,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,2.6527073838523503,-1.5922912325851442,-0.06837985678109254,-0.48185851920126893,2.3095918342770485,0.9273767405898071,-2.3506330108879325,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,,,,,0,0,0,0,,,,,0,0,,,,,,,,,none,0,0,,,,,,,,0,,
6.2039,1788066593.6989,,,,,,,,1.7111999105185827,0.6352986759350563,2.336899621778612,-1.5440209051952398,-0.33428317582005407,-0.514762407101416,-2.259110284234051,,,,,,,,,,,,,,,,,,,0,1,0,0,,,,,,,,2.6527073838523503,-1.5922912325851442,-0.06837932414887452,-0.48185851920126893,2.3095918342770485,0.9273767405898071,-2.3506330108879325,,,,,,,,,,,,,,,,,,,0,1,0,0,0,0,,,,,0,0,0,0,,,,,0,0,,,,,,,,,none,0,0,,,,,,,,0,,
6.2538,1788066593.7488,,,,,,,,1.7111999105185827,0.6352986759350563,2.336899621778612,-1.544021437827458,-0.33428317582005407,-0.514761874469198,-2.259110284234051,,,,,,,,,,,,,,,,,,,0,1,0,0,,,,,,,,2.6527073838523503,-1.5922912325851442,-0.06837932414887452,-0.48185851920126893,2.3095918342770485,0.9273767405898071,-2.3506330108879325,,,,,,,,,,,,,,,,,,,0,1,0,0,0,0,,,,,0,0,0,0,,,,,0,0,,,,,,,,,none,0,0,,,,,,,,0,,
6.3037,1788066593.7987,,,,,,,,1.7111999105185827,0.6352986759350563,2.336899621778612,-1.544021437827458,-0.33428317582005407,-0.514761874469198,-2.259110284234051,,,,,,,,,,,,,,,,,,,0,1,0,0,,,,,,,,2.6527073838523503,-1.5922912325851442,-0.06837985678109254,-0.48185851920126893,2.3095918342770485,0.9273777392752159,-2.3506330108879325,,,,,,,,,,,,,,,,,,,0,1,0,0,0,0,,,,,0,0,0,0,,,,,0,0,,,,,,,,,none,0,0,,,,,,,,0,,
6.354,1788066593.849,,,,,,,,1.7111999105185827,0.6352982098818656,2.336899621778612,-1.5440209051952398,-0.33428317582005407,-0.514762407101416,-2.259110284234051,,,,,,,,,,,,,,,,,,,0,1,0,0,,,,,,,,2.6527073838523503,-1.5922912325851442,-0.06837985678109254,-0.48185851920126893,2.3095918342770485,0.9273767405898071,-2.3506330108879325,,,,,,,,,,,,,,,,,,,0,1,0,0,0,0,,,,,0,0,0,0,,,,,0,0,,,,,,,,,none,0,0,,,,,,,,0,,
6.4041,1788066593.8991,,,,,,,,1.7111999105185827,0.6352982098818656,2.336899621778612,-1.5440209051952398,-0.33428317582005407,-0.514762407101416,-2.259110284234051,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,2.6527073838523503,-1.5922912325851442,-0.06837985678109254,-0.48185851920126893,2.3095918342770485,0.9273767405898071,-2.3506330108879325,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,,,,,0,0,0,0,,,,,0,0,,,,,,,,,none,0,0,,,,,,,,0,,
6.4537,1788066593.9487,,,,,,,,1.7111999105185827,0.6352982098818656,2.336899621778612,-1.5440209051952398,-0.33428317582005407,-0.514761874469198,-2.259110284234051,,,,,,,,,,,,,,,,,,,0,1,0,0,,,,,,,,2.6527073838523503,-1.5922912325851442,-0.06838038941331055,-0.48185851920126893,2.3095918342770485,0.9273767405898071,-2.3506330108879325,,,,,,,,,,,,,,,,,,,0,1,0,0,0,0,,,,,0,0,0,0,,,,,0,0,,,,,,,,,none,0,0,,,,,,,,0,,
6.5036,1788066593.9986,,,,,,,,1.7111999105185827,0.6352986759350563,2.336899621778612,-1.5440209051952398,-0.33428317582005407,-0.514762407101416,-2.259110284234051,,,,,,,,,,,,,,,,,,,0,1,0,0,,,,,,,,2.6527073838523503,-1.5922912325851442,-0.06838038941331055,-0.48185851920126893,2.3095918342770485,0.9273767405898071,-2.3506330108879325,,,,,,,,,,,,,,,,,,,0,1,0,0,0,0,,,,,0,0,0,0,,,,,0,0,,,,,,,,,none,0,0,,,,,,,,0,,
6.5537,1788066594.0487,,,,,,,,1.7111999105185827,0.6352986759350563,2.336899621778612,-1.5440209051952398,-0.33428317582005407,-0.514762407101416,-2.259110284234051,,,,,,,,,,,,,,,,,,,0,1,0,0,,,,,,,,2.6527073838523503,-1.5922912325851442,-0.06838038941331055,-0.48185851920126893,2.3095918342770485,0.9273767405898071,-2.3506330108879325,,,,,,,,,,,,,,,,,,,0,1,0,0,0,0,,,,,0,0,0,0,,,,,0,0,,,,,,,,,none,0,0,,,,,,,,0,,
6.6034,1788066594.0984,,,,,,,,1.7111999105185827,0.6352986759350563,2.336899621778612,-1.544021437827458,-0.33428317582005407,-0.514761874469198,-2.259110284234051,,,,,,,,,,,,,,,,,,,0,1,0,0,,,,,,,,2.6527073838523503,-1.5922912325851442,-0.06837985678109254,-0.48185851920126893,2.3095918342770485,0.9273767405898071,-2.3506330108879325,,,,,,,,,,,,,,,,,,,0,1,0,0,0,0,,,,,0,0,0,0,,,,,0,0,,,,,,,,,none,0,0,,,,,,,,0,,
6.6537,1788066594.1487,,,,,,,,1.7111999105185827,0.6352986759350563,2.336899621778612,-1.544021437827458,-0.33428317582005407,-0.514761874469198,-2.259110284234051,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,2.6527073838523503,-1.5922912325851442,-0.06837985678109254,-0.48185851920126893,2.3095918342770485,0.9273767405898071,-2.3506330108879325,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,,,,,0,0,0,0,,,,,0,0,,,,,,,,,none,0,0,,,,,,,,0,,
6.7038,1788066594.1988,,,,,,,,1.7111999105185827,0.6352982098818656,2.336899621778612,-1.544021437827458,-0.33428317582005407,-0.514762407101416,-2.259110284234051,,,,,,,,,,,,,,,,,,,0,1,0,0,,,,,,,,2.6527073838523503,-1.5922912325851442,-0.06837985678109254,-0.48185851920126893,2.3095918342770485,0.9273777392752159,-2.3506330108879325,,,,,,,,,,,,,,,,,,,0,1,0,0,0,0,,,,,0,0,0,0,,,,,0,0,,,,,,,,,none,0,0,,,,,,,,0,,
6.7536,1788066594.2486,,,,,,,,1.7111999105185827,0.6352986759350563,2.336899621778612,-1.5440209051952398,-0.33428317582005407,-0.514762407101416,-2.259110284234051,,,,,,,,,,,,,,,,,,,0,1,0,0,,,,,,,,2.6527073838523503,-1.5922912325851442,-0.06837985678109254,-0.48185851920126893,2.3095918342770485,0.9273777392752159,-2.3506330108879325,,,,,,,,,,,,,,,,,,,0,1,0,0,0,0,,,,,0,0,0,0,,,,,0,0,,,,,,,,,none,0,0,,,,,,,,0,,
6.804,1788066594.299,,,,,,,,1.7111999105185827,0.6352986759350563,2.336899621778612,-1.5440209051952398,-0.33428317582005407,-0.514762407101416,-2.259110284234051,,,,,,,,,,,,,,,,,,,0,1,0,0,,,,,,,,2.6527073838523503,-1.5922912325851442,-0.06837932414887452,-0.48185851920126893,2.3095918342770485,0.9273767405898071,-2.3506330108879325,,,,,,,,,,,,,,,,,,,0,1,0,0,0,0,,,,,0,0,0,0,,,,,0,0,,,,,,,,,none,0,0,,,,,,,,0,,
6.8538,1788066594.3488,,,,,,,,1.7111999105185827,0.6352986759350563,2.336899621778612,-1.5440209051952398,-0.33428317582005407,-0.514762407101416,-2.259110284234051,,,,,,,,,,,,,,,,,,,0,1,0,0,,,,,,,,2.6527073838523503,-1.5922912325851442,-0.06837985678109254,-0.48185851920126893,2.3095918342770485,0.9273767405898071,-2.3506330108879325,,,,,,,,,,,,,,,,,,,0,1,0,0,0,0,,,,,0,0,0,0,,,,,0,0,,,,,,,,,none,0,0,,,,,,,,0,,
6.9039,1788066594.3989,,,,,,,,1.7111999105185827,0.6352986759350563,2.336899621778612,-1.5440209051952398,-0.33428317582005407,-0.514762407101416,-2.259110284234051,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,2.6527073838523503,-1.5922912325851442,-0.06837985678109254,-0.48185851920126893,2.3095918342770485,0.9273767405898071,-2.3506330108879325,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,,,,,0,0,0,0,,,,,0,0,,,,,,,,,none,0,0,,,,,,,,0,,
6.9538,1788066594.4488,,,,,,,,1.7111999105185827,0.6352986759350563,2.336899621778612,-1.544021437827458,-0.33428317582005407,-0.514762407101416,-2.259110284234051,,,,,,,,,,,,,,,,,,,0,1,0,0,,,,,,,,2.6527073838523503,-1.5922912325851442,-0.06837985678109254,-0.48185851920126893,2.3095918342770485,0.9273767405898071,-2.3506330108879325,,,,,,,,,,,,,,,,,,,0,1,0,0,0,0,,,,,0,0,0,0,,,,,0,0,,,,,,,,,none,0,0,,,,,,,,0,,
7.0037,1788066594.4987,,,,,,,,1.7111999105185827,0.6352986759350563,2.336899621778612,-1.5440209051952398,-0.33428317582005407,-0.514761874469198,-2.259110284234051,,,,,,,,,,,,,,,,,,,0,1,0,0,,,,,,,,2.6527073838523503,-1.5922912325851442,-0.06837985678109254,-0.48185851920126893,2.3095918342770485,0.9273767405898071,-2.3506330108879325,,,,,,,,,,,,,,,,,,,0,1,0,0,0,0,,,,,0,0,0,0,,,,,0,0,,,,,,,,,none,0,0,,,,,,,,0,,
7.0538,1788066594.5488,,,,,,,,1.7111999105185827,0.6352986759350563,2.336899621778612,-1.5440209051952398,-0.33428317582005407,-0.514761874469198,-2.259110284234051,,,,,,,,,,,,,,,,,,,0,1,0,0,,,,,,,,2.6527073838523503,-1.5922912325851442,-0.06837985678109254,-0.48185851920126893,2.3095918342770485,0.9273767405898071,-2.3506330108879325,,,,,,,,,,,,,,,,,,,0,1,0,0,0,0,,,,,0,0,0,0,,,,,0,0,,,,,,,,,none,0,0,,,,,,,,0,,
7.1047,1788066594.5997,,,,,,,,1.7111999105185827,0.6352982098818656,2.336899621778612,-1.544021437827458,-0.33428317582005407,-0.514761874469198,-2.259110284234051,,,,,,,,,,,,,,,,,,,0,1,0,0,,,,,,,,2.6527073838523503,-1.5922912325851442,-0.06837985678109254,-0.48185851920126893,2.3095918342770485,0.9273767405898071,-2.3506330108879325,,,,,,,,,,,,,,,,,,,0,1,0,0,0,0,,,,,0,0,0,0,,,,,0,0,,,,,,,,,none,0,0,,,,,,,,0,,
7.1537,1788066594.6487,,,,,,,,1.7111999105185827,0.6352982098818656,2.336899621778612,-1.544021437827458,-0.33428317582005407,-0.514761874469198,-2.259110284234051,,,,,,,,,,,,,,,,,,,0,1,0,0,,,,,,,,2.6527073838523503,-1.5922912325851442,-0.06838038941331055,-0.48185851920126893,2.3095918342770485,0.9273767405898071,-2.3506330108879325,,,,,,,,,,,,,,,,,,,0,1,0,0,0,0,,,,,0,0,0,0,,,,,0,0,,,,,,,,,none,0,0,,,,,,,,0,,
7.2034,1788066594.6984,,,,,,,,1.7111999105185827,0.6352986759350563,2.336899621778612,-1.5440209051952398,-0.33428317582005407,-0.514761874469198,-2.259110284234051,,,,,,,,,,,,,,,,,,,0,1,0,0,,,,,,,,2.6527073838523503,-1.5922912325851442,-0.06837932414887452,-0.48185851920126893,2.3095918342770485,0.9273767405898071,-2.3506330108879325,,,,,,,,,,,,,,,,,,,0,1,0,0,0,0,,,,,0,0,0,0,,,,,0,0,,,,,,,,,none,0,0,,,,,,,,0,,
7.2537,1788066594.7487,,,,,,,,1.7111999105185827,0.6352982098818656,2.336899621778612,-1.5440209051952398,-0.33428317582005407,-0.514761874469198,-2.259110284234051,,,,,,,,,,,,,,,,,,,0,1,0,0,,,,,,,,2.6527073838523503,-1.5922912325851442,-0.06837932414887452,-0.48185851920126893,2.3095918342770485,0.9273767405898071,-2.3506330108879325,,,,,,,,,,,,,,,,,,,0,1,0,0,0,0,,,,,0,0,0,0,,,,,0,0,,,,,,,,,none,0,0,,,,,,,,0,,
7.3037,1788066594.7987,,,,,,,,1.7111999105185827,0.6352982098818656,2.336899621778612,-1.5440209051952398,-0.33428317582005407,-0.514761874469198,-2.259110284234051,,,,,,,,,,,,,,,,,,,0,1,0,0,,,,,,,,2.6527073838523503,-1.5922912325851442,-0.06837985678109254,-0.48185851920126893,2.3095918342770485,0.9273767405898071,-2.3506330108879325,,,,,,,,,,,,,,,,,,,0,1,0,0,0,0,,,,,0,0,0,0,,,,,0,0,,,,,,,,,none,0,0,,,,,,,,0,,
7.3545,1788066594.8495,,,,,,,,1.7111999105185827,0.6352986759350563,2.336899621778612,-1.5440209051952398,-0.33428317582005407,-0.514762407101416,-2.259110284234051,,,,,,,,,,,,,,,,,,,0,1,0,0,,,,,,,,2.6527073838523503,-1.5922912325851442,-0.06837985678109254,-0.48185851920126893,2.3095918342770485,0.9273767405898071,-2.3506330108879325,,,,,,,,,,,,,,,,,,,0,1,0,0,0,0,,,,,0,0,0,0,,,,,0,0,,,,,,,,,none,0,0,,,,,,,,0,,
7.4036,1788066594.8986,,,,,,,,1.7111999105185827,0.6352986759350563,2.336899621778612,-1.5440209051952398,-0.33428317582005407,-0.514762407101416,-2.259110284234051,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,2.6527073838523503,-1.5922912325851442,-0.06837985678109254,-0.48185851920126893,2.3095918342770485,0.9273767405898071,-2.3506330108879325,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,,,,,0,0,0,0,,,,,0,0,,,,,,,,,none,0,0,,,,,,,,0,,
7.4536,1788066594.9486,,,,,,,,1.7111999105185827,0.6352986759350563,2.336899621778612,-1.5440209051952398,-0.33428317582005407,-0.514761874469198,-2.259110284234051,,,,,,,,,,,,,,,,,,,0,1,0,0,,,,,,,,2.6527073838523503,-1.5922912325851442,-0.06837985678109254,-0.48185851920126893,2.3095918342770485,0.9273767405898071,-2.3506330108879325,,,,,,,,,,,,,,,,,,,0,1,0,0,0,0,,,,,0,0,0,0,,,,,0,0,,,,,,,,,none,0,0,,,,,,,,0,,
7.5036,1788066594.9986,,,,,,,,1.7111999105185827,0.6352982098818656,2.336899621778612,-1.5440209051952398,-0.33428317582005407,-0.514762407101416,-2.259110284234051,,,,,,,,,,,,,,,,,,,0,1,0,0,,,,,,,,2.6527073838523503,-1.5922912325851442,-0.06837985678109254,-0.48185851920126893,2.3095918342770485,0.9273767405898071,-2.3506330108879325,,,,,,,,,,,,,,,,,,,0,1,0,0,0,0,,,,,0,0,0,0,,,,,0,0,,,,,,,,,none,0,0,,,,,,,,0,,
7.5537,1788066595.0487,,,,,,,,1.7111999105185827,0.6352982098818656,2.336899621778612,-1.5440209051952398,-0.33428317582005407,-0.514762407101416,-2.259110284234051,,,,,,,,,,,,,,,,,,,0,1,0,0,,,,,,,,2.6527073838523503,-1.5922912325851442,-0.06837985678109254,-0.48185851920126893,2.3095918342770485,0.9273767405898071,-2.3506330108879325,,,,,,,,,,,,,,,,,,,0,1,0,0,0,0,,,,,0,0,0,0,,,,,0,0,,,,,,,,,none,0,0,,,,,,,,0,,
